hbzId,subject
HT019759831,N797010
HT018678047,N846000
HT015139761,N406130
HT015134681,N102000
HT014934247,N841070
HT013804759,N240000
HT014260090,N124000
HT013746727,N844030
HT014259457,N806020
HT019083045,N554000
HT014260614,N228000
HT019392329,N126000
HT018958068,N800100
HT014266929,N704043
HT013465315,N226030
HT015121638,N102000
HT014842111,N240000
HT013463310,N226030
HT018677381,N847500
HT019084661,N240000
HT014902999,N841070
HT015062732,N841070
HT013718488,N632000
HT014264560,N768010
HT013466720,N228000
BT000005162,N102000
HT019800185,N631000
BT000005369,N163080
HT013804509,N545030
HT012754453,N768030
HT013475490,N220500
HT015053564,N844040
HT015102332,N240000
HT014258868,N262012
HT019085116,N768010
HT018922860,N240000
HT015004844,N548850
HT014263758,N142320
HT015022471,N768030
HT014842149,N828000
HT014955069,N126000
HT014901284,N126000
HT015004647,N240000
BT000005055,N768010
HT013465377,N228000
HT014258402,N844050
HT014266422,N548400
BT000005009,N841070
HT015141261,N240000
BT000005699,N736030
HT013468224,N220500
HT013468229,N228000
BT000005423,N240000
HT018925789,N841070
HT014258500,N262010
HT015079354,N731000
HT015084482,N768030
HT019084970,N240000
BT000005203,N768030
HT014264580,N240000
HT014809570,N240000
HT018925571,N768010
HT013621403,N768030
HT014262270,N142370
BT000004974,N611050
TT002695558,N841070
BT000005339,N844030
BT000006116,N828000
HT014804783,N848000
HT013746569,N841070
HT013835621,N102000
HT015080959,N240000
BT000006110,N584070
BT000005532,N240000
HT018922967,N213020
BT000005726,N142380
HT014954044,N844200
HT019440774,N612050
HT013757554,N220500
HT015399191,N841070
HT013472443,N126000
HT015332690,N126000
HT013836567,N164040
HT014267049,N841070
BT000005892,N768030
HT013544446,N632000
HT015005051,N557040
BT000005171,N747010
BT000005184,N740100
HT014258910,N228000
HT013461040,N768010
HT013837227,N842000
HT013838036,N841070
HT018964596,N240000
HT013835057,N841070
HT015047822,N768010
HT019796647,N844200
TT002548288,N841070
HT018963214,N841040
BT000004989,N163030
BT000006004,N841070
HT014843184,N102000
HT015120882,N611043
HT014264578,N841070
BT000005802,N846000
BT000005804,N844200
HT015398466,N240000
BT000005191,N102000
BT000005779,N840100
HT014262487,N584000
HT014264575,N768010
BT000005800,N844050
HT013515498,N802060
HT013474637,N220500
BT000006018,N142320
HT013465465,N217030
HT013834954,N806020
BT000005228,N794010
BT000005982,N768010
HT015053357,N708029
HT019004266,N555020
HT014259109,N228000
HT015004805,N768030
HT015050064,N228000
HT015004792,N725070
HT015004945,N141634
HT013461755,N226030
HT013698282,N102070
HT013705651,N240000
HT016303105,N207020
HT016234296,N841070
HT016357755,N841070
HT014747697,N841060
HT016158734,N704063
HT015957184,N611060
HT016116824,N207020
HT013899122,N547440
HT016173779,N844080
HT013898915,N768010
HT015053631,N844030
HT014259958,N547030
HT014759036,N221000
HT016409572,N768030
HT015882743,N768010
HT015445472,N841070
HT000446424,N841070
HT015053096,N768010
HT016117058,N768010
HT014815473,N142320
HT015053577,N844030
HT016408985,N704043
HT016178392,N109000
TT002943635,N406120
HT016116513,N768010
HT014258464,N102000
HT016181491,N768010
HT015998129,N794010
HT016303115,N240000
HT013892880,N844030
HT014814244,N406300
HT015955051,N768010
HT013542289,N205020
HT016182284,N768010
HT015053609,N844050
HT014667114,N841070
HT013545109,N841040
HT015957081,N611060
HT016151281,N844030
HT016407612,N825500
HT015048591,N543000
HT015445456,N841060
HT015957066,N844030
HT015955278,N841070
HT016171455,N207000
HT016182194,N613010
HT016171471,N611030
HT016408556,N706090
HT016234370,N841070
HT016407624,N768010
HT016300974,N613030
HT016300978,N613030
HT016300994,N428060
HT003358072,N768010
HT014816065,N240000
HT016406962,N708029
HT016357984,N611050
HT013515474,N240000
HT013515482,N541000
HT013892735,N217040
HT016153298,N207020
HT014814172,N227040
HT014815430,N611010
HT019520885,N207020
HT013546398,N554000
HT016299798,N611085
TT002939083,N841070
HT016151325,N632000
HT020040256,N226030
HT016309941,N768030
HT014815397,N102000
HT014814889,N557020
HT013515800,N240000
TT002958604,N841070
HT014814330,N122000
HT003351745,N841070
HT016298434,N543020
HT019837786,N226030
HT015997819,N841070
HT015326290,N841070
HT015990506,N848000
HT020043888,N797010
HT015563470,N797010
BT000071239,N841070
BT000071259,N102000
HT019840442,N844040
BT000072136,N826000
BT000072431,N841070
BT000072438,N217030
BT000075099,N841070
BT000072134,N744000
BT000071119,N220500
BT000071487,N768010
HT015326378,N613044
BT000072511,N557020
BT000072213,N406130
BT000071117,N220500
BT000074045,N797010
BT000072404,N841070
BT000075075,N841070
BT000071120,N844200
BT000072138,N820100
BT000072143,N882090
BT000072232,N768010
BT000122996,N797010
BT000071922,N564080
BT000004975,N844030
BT000072141,N240000
HT013593856,N841070
BT000074796,N768030
BT000072423,N768010
BT000072367,N797010
BT000072683,N844030
HT013590324,N205040
BT000071370,N843090
BT000123230,N844060
BT000072456,N406120
BT000071755,N768010
BT000004993,N163030
BT000123194,N844040
BT000072118,N611060
BT000072280,N240000
BT000123277,N708060
BT000073469,N768010
BT000074895,N611050
BT000075338,N788000
HT018773525,N768010
BT000005006,N566000
BT000005405,N768010
HT019084113,N841070
BT000072547,N768010
BT000071927,N226030
BT000072561,N784044
BT000072245,N611050
BT000072088,N841060
BT000072365,N797010
BT000123285,N841060
BT000071217,N611044
BT000072271,N406130
BT000073366,N226030
BT000071177,N228000
BT000071183,N611050
BT000071197,N841070
BT000071218,N574030
BT000112544,N584000
BT000115194,N611050
BT000112170,N102000
BT000113823,N844200
BT000115169,N545030
BT000115399,N611050
BT000112460,N226030
HT012805711,N841070
BT000072700,N228000
HT018774724,N141620
BT000005439,N613020
BT000112553,N797010
BT000112567,N226030
BT000113016,N844200
BT000113018,N844030
BT000113022,N844200
BT000113441,N406130
BT000113443,N406130
BT000113254,N768010
BT000115856,N611050
BT000115858,N611050
HT015875138,N240000
BT000071894,N708430
BT000115674,N611050
BT000115680,N611050
BT000112574,N797010
BT000112666,N240000
BT000115555,N797010
BT000005275,N861020
BT000114137,N545030
BT000112195,N841070
BT000112947,N841070
BT000115447,N768030
BT000005754,N611044
BT000005755,N240000
BT000112385,N824040
BT000005836,N768010
BT000112975,N841070
